Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"CUTOFF1","100k","Alpha9mmPot",69.500000,-20.000000,0.000000,top
"FM_ATTV1","100k","Alpha9mmPot",78.000000,-69.000000,0.000000,top
"FM_IN1","PJ301M-12","PJ301M-12",70.000000,-93.000000,0.000000,top
"HP_OUT1","PJ301M-12","PJ301M-12",78.000000,-110.000000,0.000000,top
"INPUT_GAIN1","100k","Alpha9mmPot",51.000000,-75.000000,0.000000,top
"LP_OUT1","PJ301M-12","PJ301M-12",51.000000,-110.000000,0.000000,top
"RESONANCE1","100k","Alpha9mmPot",53.500000,-39.100000,0.000000,top
"RES_ATTV1","100k","Alpha9mmPot",64.500000,-72.000000,0.000000,top
"RES_CV1","PJ301M-12","PJ301M-12",60.000000,-93.000000,0.000000,top
"SW_DRIVE1","SW_SPDT","PinHeader_1x03_P2.54mm_Vertical",50.500000,-55.460000,0.000000,top
"SW_RES_DIST1","SW_SPDT","PinHeader_1x03_P2.54mm_Vertical",78.500000,-44.460000,0.000000,top
"SW_WOBBLE1","SW_SPDT","PinHeader_1x03_P2.54mm_Vertical",64.500000,-50.460000,0.000000,top
"V_OCT_IN1","PJ301M-12","PJ301M-12",80.000000,-93.000000,0.000000,top
